country,mtCO2
Afghanistan,
Albania,
Algeria,15.3329
Andorra,
Angola,3.386
Anguilla,
Antigua and Barbuda,
Argentina,2.3248
Armenia,
Aruba,
Australia,17.2728
Austria,0.10925
Azerbaijan,0.25282
Bahamas,
Bahrain,0.25517
Bangladesh,0.048748
Barbados,0.01832
Belarus,0.0062324
Belgium,0.10145
Belize,0.004794
Benin,
Bermuda,
Bhutan,
Bolivia,0.061344
"Bonaire, Saint Eustatius and Saba",
Bosnia and Herzegovina,
Botswana,
Brazil,17.505
British Virgin Islands,
Brunei Darussalam,0.4054
Bulgaria,0.68422
Burkina Faso,
Burundi,
Cambodia,0.023707
Cameroon,1.4679
Canada,16.057
Cape Verde,
Central African Republic,
Chad,0.33641
Chile,0.011618
China,4.6775
Colombia,0.61576
Comoros,
Congo,2.8617
Cook Islands,
Costa Rica,
Côte d'Ivoire,0.028407
Croatia,0.28818
Cuba,0.072624
Curaçao,
Cyprus,
Czech Republic,0.052561
Democratic Republic of the Congo,
Denmark,0.12626
Djibouti,
Dominica,
Dominican Republic,
Ecuador,2.3222
Egypt,3.915
El Salvador,
Equatorial Guinea,0.47872
Eritrea,
Estonia,0.000028366
Ethiopia,
Faeroe Islands,
Fiji,
Finland,0.07576
France,2.1486
French Guiana,
French Polynesia,
Gabon,2.5162
Gambia,
Georgia,0.0023312
Germany,1.8074
Ghana,1.1266
Greece,0.0051713
Greenland,
Grenada,
Guadeloupe,
Guatemala,0.093831
Guinea,
Guinea-Bissau,
Guyana,0.24707
Haiti,
Honduras,
Hong Kong,
Hungary,0.16208
Iceland,0.17487
India,2.7716
Indonesia,3.1493
Iran,32.6683
Iraq,33.4646
Ireland,0.00033439
Israel,0.0011844
Italy,2.1125
Jamaica,
Japan,0.34453
Jordan,0.0009776
Kazakhstan,16.8439
Kenya,
Kiribati,
Kosovo,
Kuwait,1.3581
Kyrgyzstan,
Laos,
Latvia,0.00001109
Lebanon,
Lesotho,
Liberia,
Libya,11.2773
Liechtenstein,2.4566E-07
Lithuania,0.18161
Luxembourg,0.000036977
Macao,
Madagascar,
Malawi,
Malaysia,3.7637
Maldives,
Mali,
Malta,
Marshall Islands,
Martinique,
Mauritania,
Mauritius,
Mexico,12.237
Micronesia (Federated States of),
Moldova,
Mongolia,
Montenegro,
Montserrat,
Morocco,
Mozambique,
Myanmar,0.039461
Namibia,
Nauru,
Nepal,
Netherlands,0.92519
New Caledonia,
New Zealand,0.78073
Nicaragua,
Niger,0.093154
Nigeria,12.4585
Niue,
North Korea,
North Macedonia,
Norway,1.5189
Occupied Palestinian Territory,
Oman,4.6525
Pakistan,0.44178
Palau,
Panama,
Papua New Guinea,0.12372
Paraguay,
Peru,0.12128
Philippines,0.16288
Poland,4.2251
Portugal,1.0128
Qatar,1.8912
Republic of South Sudan,
Réunion,
Romania,0.79388
Russian Federation,58.9218
Rwanda,
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,
Samoa,
Sao Tome and Principe,
Saudi Arabia,3.9052
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,
Slovakia,0.013168
Slovenia,0.1251
Solomon Islands,
Somalia,
South Africa,0.052396
South Korea,0.0060912
Spain,3.5583
Sri Lanka,
Sudan,0.45581
Suriname,
Swaziland,
Sweden,0.44496
Switzerland,0.026395
Syria,1.9567
Taiwan,0.13493
Tajikistan,
Tanzania,
Thailand,0.55635
Timor-Leste,0.080608
Togo,
Tonga,
Trinidad and Tobago,0.27865
Tunisia,0.51196
Turkey,0.19524
Turkmenistan,2.1993
Turks and Caicos Islands,
Tuvalu,
Uganda,
Ukraine,2.304
United Arab Emirates,1.634
United Kingdom,3.4738
United States of America,67.6844
Uruguay,
Uzbekistan,0.88146
Vanuatu,
Venezuela,15.395
Vietnam,1.0815
Wallis and Futuna Islands,
Yemen,1.768
Zambia,
Zimbabwe,
