year,mtCO2
Afghanistan,0.23885
Albania,0.15025
Algeria,92.792
Andorra,
Angola,2.9513
Anguilla,
Antigua and Barbuda,
Argentina,94.3275
Armenia,5.4609
Aruba,
Australia,77.2421
Austria,17.8395
Azerbaijan,26.0293
Bahamas,
Bahrain,34.5959
Bangladesh,58.7433
Barbados,0.057667
Belarus,36.0525
Belgium,35.7772
Belize,
Benin,0.12302
Bermuda,
Bhutan,
Bolivia,8.5236
"Bonaire, Saint Eustatius and Saba",
Bosnia and Herzegovina,0.4883
Botswana,
Brazil,75.9744
British Virgin Islands,
Brunei Darussalam,5.8108
Bulgaria,6.0618
Burkina Faso,
Burundi,
Cambodia,
Cameroon,1.6114
Canada,235.3818
Cape Verde,
Central African Republic,
Chad,
Chile,11.6057
China,773.8661
Colombia,23.2567
Comoros,
Congo,2.2925
Cook Islands,
Costa Rica,
C“te d'Ivoire,4.9293
Croatia,5.3109
Cuba,2.2091
Cura‡ao,
Cyprus,0.00022
Czech Republic,18.6812
Democratic Republic of the Congo,
Denmark,4.7783
Djibouti,
Dominica,
Dominican Republic,2.9898
Ecuador,1.0264
Egypt,126.3135
El Salvador,
Equatorial Guinea,3.6279
Eritrea,
Estonia,0.91458
Ethiopia,
Faeroe Islands,
Fiji,
Finland,4.2666
France,85.5805
French Guiana,
French Polynesia,
Gabon,1.1173
Gambia,
Georgia,6.039
Germany,173.4841
Ghana,4.7512
Greece,12.1524
Greenland,
Grenada,
Guadeloupe,
Guatemala,
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Honduras,
Hong Kong,9.7363
Hungary,22.1123
Iceland,0.00020045
India,133.4508
Indonesia,74.0879
Iran,466.9938
Iraq,30.0439
Ireland,10.5016
Israel,19.4488
Italy,150.9559
Jamaica,0.57224
Japan,221.5251
Jordan,8.2071
Kazakhstan,27.9802
Kenya,
Kiribati,
Kosovo,
Kuwait,49.8173
Kyrgyzstan,0.69182
Laos,
Latvia,2.2709
Lebanon,
Lesotho,
Liberia,
Libya,17.2908
Liechtenstein,0.055573
Lithuania,4.0044
Luxembourg,1.5714
Macao,0.24954
Madagascar,
Malawi,
Malaysia,82.0025
Maldives,
Mali,
Malta,0.84328
Marshall Islands,
Martinique,
Mauritania,
Mauritius,
Mexico,157.5527
Micronesia (Federated States of),
Moldova,1.9363
Mongolia,
Montenegro,
Montserrat,
Morocco,1.5737
Mozambique,1.924
Myanmar,7.7643
Namibia,
Nauru,
Nepal,
Netherlands,68.0827
New Caledonia,
New Zealand,6.6579
Nicaragua,
Niger,
Nigeria,40.6437
Niue,
North Korea,
North Macedonia,0.72286
Norway,12.6728
Occupied Palestinian Territory,
Oman,62.3274
Pakistan,75.5095
Palau,
Panama,0.91148
Papua New Guinea,0.7914
Paraguay,
Peru,15.3203
Philippines,6.5911
Poland,40.5704
Portugal,11.6488
Qatar,83.5313
Republic of South Sudan,
R‚union,
Romania,25.5097
Russian Federation,875.0518
Rwanda,0.10191
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,
Samoa,
Sao Tome and Principe,
Saudi Arabia,270.0651
Senegal,0.033937
Serbia,5.196
Seychelles,
Sierra Leone,
Singapore,22.2252
Slovakia,10.3944
Slovenia,1.8429
Solomon Islands,
Somalia,
South Africa,8.2338
South Korea,126.7897
Spain,67.1091
Sri Lanka,
Sudan,
Suriname,0.010566
Swaziland,
Sweden,1.4841
Switzerland,7.2298
Syria,6.8373
Taiwan,55.0857
Tajikistan,0.31112
Tanzania,2.083
Thailand,77.3884
Timor-Leste,
Togo,0.22059
Tonga,
Trinidad and Tobago,32.5057
Tunisia,13.6817
Turkey,114.3952
Turkmenistan,58.7603
Turks and Caicos Islands,
Tuvalu,
Uganda,
Ukraine,54.0762
United Arab Emirates,130.1866
United Kingdom,158.864
United States of America,1637.0385
Uruguay,0.1585
Uzbekistan,96.181
Vanuatu,
Venezuela,32.3191
Vietnam,13.6792
Wallis and Futuna Islands,
Yemen,0.20661
Zambia,
Zimbabwe,
